[2026-03-20T20:07:02.789Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-15
[2026-03-20T20:07:02.789Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-16
[2026-03-20T20:07:02.789Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-17
[2026-03-20T20:07:02.789Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-18
[2026-03-20T20:07:02.789Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-19
[2026-03-20T20:07:02.789Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (578.219kt, NaNs) on nexus-20
[2026-03-20T20:07:02.790Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (543.345kt, NaNs) on nexus-21
[2026-03-20T20:07:02.790Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-22
[2026-03-20T20:07:02.790Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-23
[2026-03-20T20:07:02.790Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (263.331kt, NaNs) on nexus-24
[2026-03-20T20:07:02.790Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (304.126kt, NaNs) on nexus-24
[2026-03-20T20:07:32.795Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (1.060mt, NaNs) on home
[2026-03-20T20:07:32.796Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-0
[2026-03-20T20:07:32.796Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-1
[2026-03-20T20:07:32.796Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-2
[2026-03-20T20:07:32.796Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-3
[2026-03-20T20:07:32.796Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-4
[2026-03-20T20:07:32.796Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-5
[2026-03-20T20:07:32.796Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-6
[2026-03-20T20:07:32.796Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-7
[2026-03-20T20:07:32.796Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-8
[2026-03-20T20:07:32.797Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-9
[2026-03-20T20:07:32.797Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-10
[2026-03-20T20:07:32.797Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-11
[2026-03-20T20:07:32.797Z] [INFO] [WORKER-MGR] 🧹 Killed zombie: workers/grow.js (599.186kt, NaNs) on nexus-12
